,review_author,review_header,review_helpful,review_posted_date,review_rating,review_text,review_length
0,Francisco Arteaga,Five Stars,0,2018-08-12,5.0,Overall good value for money,28
1,Br0wn3y35,Worked,0,2018-08-11,4.0,It works but battery dies fast and on some of my bags I had do it a few times because the numbers kept bouncing around .,120
2,Amazon Customer,Good for avoiding overweight bag fees,0,2018-08-11,5.0,No idea how accurate this one is but generally these are great at making sure you skate under baggage weight limits!,116
3,Cristina G.,Great way to avoid baggage fees!,0,2018-08-10,5.0,Love this scale. It gives you the weight of your bags in pounds and kilos. It is a great little tool if you travel a lot and want to avoid extra baggage fees.,158
4,Miss Lark,I can't believe amazon endorsed this at all...,0,2018-08-08,1.0,This product is worthless.  It changes itself from screen to screen or just crashes when you try to lift the bag as per instructions.  Better off using a bathroom scale and doing the math...Highly disappointed- do not waste your money.,235
5,abky,Handy tool for someone who is always pushing the upper limit of baggage allowances.,0,2018-08-07,5.0,"Lightweight scale that is easy to use. Seems reliable to me; I weighed my bag at home at 49.7 lbs and it weighed on the airline scale at 49.6 lbs. It often wants to default back to kg, after I set it to lbs, though, and if I don't notice it right away assume I'm well under the baggage allowance. And this scale makes it much easier than my old method, which was to weight myself on a bath scale, and then weigh myself holding my heavy suitcase on the bath scale (as it never seemed to work correctly just setting the suitcase on the scale alone).",547
6,Hugo G,Works Perfectly,0,2018-08-06,5.0,"AmazonBasics with another great product. Works exactly as advertised, got it on a super sweet deal too. Love this",113
7,Y. Velazco,Was great until the battery died on us while we were ...,0,2018-08-06,3.0,"Was great until the battery died on us while we were in Italy and we only used it once before that which is when we left the U.S. to go to Italy.  Needless to say, it was useless for us on our return trip.",205
8,Sreethar R,Four Stars,0,2018-08-05,4.0,Looks good but have to use it more ti know how it works,55
9,Alisa,Great for international travel,0,2018-08-05,5.0,Perfect for an international trip. I bought lots on my trip and had to reorganized my luggage because I knew it was too heavy.,126
10,Alejandro Corona,Five Stars,0,2018-08-05,5.0,Perfect for my needs!!!,23
11,Brave New Bookshelves,"Works perfectly, small and light enough to pack for travel",0,2018-08-05,5.0,"If you're someone who regularly runs up against luggage weight limits, you need this in your life. Now instead of forcing my partner to jury-rig a system for weighing suitcases on the bathroom scale, I just force him to lift the suitcase using this! It's ten times easier, and we can do it while we're traveling and don't have a bathroom scale. It's win/win. He gets to keep my souvenir buying under control, and we're don't have to worry about overweight baggage fees.
You do have to be reasonably strong; basically you loop the strap around the handle of what you're weighing, then lift straight up a few inches until the suitcase is off the ground, hanging by the strap. I find I can do about 50 lb without a problem, and I'd say I'm average strength for a mid-30s female. However, shorter people may have a harder time lifting big suitcases high enough-- I'm usually lifting the scale to about chest height to get a big suitcase off the ground, and I'm 5'10"". If I were several inches shorter, I'd probably want to stand on a stair or step-stool to make the lifting more efficient. (Lifting something above your chest while keeping it in front of you is really hard, and probably terrible for your back.)
We've had this scale for a couple years now, and continue to be pleased with its accuracy. FYI,  it uses the large watch batteries, but I don't think we've had to replace them yet.",1389
12,unknown,It ok product,0,2018-08-03,4.0,Feels it is not sturdy.,23
13,LarryBur,Five Stars,0,2018-08-02,5.0,Don't fly without using one of these first.,43
14,Suzette,"Item rated to 110lbs, but it turned off whenever ...",0,2018-08-02,1.0,"Item rated to 110lbs, but it turned off whenever it hit 45-50lbs!  Makes it totally unusable as I am trying to weigh things 50-70lbs.",133
15,Amazon Customer,Simple and clear product. Just attach the scale of ...,0,2018-08-02,4.0,Simple and clear product. Just attach the scale of to your luggage and it reads the weight of the luggage very clearly. A must buy for any traveler who brings lot of luggage. It uses cell batteries so it may be slightly more difficult to replace.,246
16,Marcelo Abad C,Ok,0,2018-08-01,4.0,Will be perfect if I could check the weight after pulling and not while I'm pulling exclusively,95
17,Lily,"Working great, very happy",0,2018-07-31,5.0,"Working great, very happy",25
18,LEH,Five Stars,0,2018-07-31,5.0,As promised and quick delivery.,31
19,Ps,A must have product,0,2018-07-30,5.0,"Nice product, simple to use and of good quality.",48
20,Scott C. Zambelli,Five Stars,0,2018-07-27,5.0,A must have for airline travelers who are always near the weight limits of their luggage.,89
21,vpshastry,Prefer to pay few bucks extra to have good one.,0,2018-07-25,3.0,I expected a bit more quality from the Amazon basics.,53
22,Callofduty62,"If you travel, this is a must",0,2018-07-24,5.0,It has been working perfectly for me. It is one the great purchases that I have made. It saves me lots of hassles at the airport!,129
23,Greg,Two Stars,0,2018-07-17,2.0,Battery lasts about 10 weighs before needing to replace the battery.  Went through 2 batteries on a recent trip.,112
24,Amazon Customer,Four Stars,0,2018-07-16,4.0,"First one arrived dead, 2nd one worked",38
25,Jayadeep Kandagatla,Five Stars,0,2018-07-07,5.0,Nice product. Accurate results.,31
26,Ron H.,"Great, works",0,2018-07-01,5.0,"Works as advertised, very compact and useful. Can't think of any reason to spend more for this.",95
27,Invincible4ever,5 stars!,0,2018-06-23,5.0,5 stars!,8
28,trilogy45,Accurate but watch your back!,0,2018-06-19,4.0,"What I liked most is the small size: what I liked the least is the way you have to lift the suitcase to get a reading. I had a 50lb suitcase and lifting it in front of you with both hands while trying to read the led screen was awkward. Once I got the bag lifted up I heard a pop in my back and it’s never been the same, and that was 3 months ago. You would be better off, especially with heavy bags, to weigh yourself then weigh yourself holding the suitcase.",460
