,review_author,review_header,review_helpful,review_posted_date,review_rating,review_text,review_length
0,Amazon Customer,good for the money,0,2018-08-11,4.0,"good price, lots of materials",29
1,Holly A. Hall,Love them,0,2018-08-07,4.0,Smooth going on. Bright pigments like them so much I'm ordering the 72 set. Was weary because I had major problems with the watercolor set and got no response,158
2,missann,Good value,0,2018-08-06,5.0,Good quality for price blends okay good color selection too,59
3,Kaye Hartzler,Wonderful pencils. I have not had the lead break ...,0,2018-08-01,5.0,Wonderful pencils.  I have not had the lead break inside the pencil yet.  Love this.,84
4,i breathe air,"Inexpensive, super pigmented, and easy to work with",1,2018-07-31,5.0,"Inexpensive, super pigmented, and easy to work with! I draw traditionally, with pencils, pens, and paper being my main medium. I was looking for a good set of inexpensive pencils, and through various recommendations and videos on YouTube, I decided on Arteza. Not disappointed one bit. :) Absolutely love them.",310
5,CMJ,"Great pencil to start with or add to collection, great value",0,2018-07-29,5.0,I like the great variety in colors available. I found these to sharpen easily and hold their point well.  I used  My hand held sharpener and also tested with an electric one. Both sharpened the pencils nicely. I had no problems with breakage at any time.  The color laid down evenly and also blended and shaded nicely.  This is a great pencil for any student or hobby artist. I have many other name brands and types of pencils in my collection.  One of the nicest wax base pencils in this price range.  The tin makes it nice to protect the pencils when not using them.,568
6,Leland C,Very high quality set.,0,2018-07-21,5.0,"Since I got my daughter the sketching pencil set, she needed some color to fill in her drawings.  This set is awesome.  It's got good range of tones without getting to granular in the range of shades.  The tin container with 2 trays is a perfect way to lay them out and pick out the best color.  Also each color and pencil number is labeled for better reference.  The trays keep the set organized and protected.  Very high quality set.",435
7,Mr Bryan,Buena calidad. Falta probarlos,1,2018-07-20,5.0,Muy lindos,10
8,Jennifer W.,Nice feel and best colored pencils,0,2018-07-19,5.0,Awesome colored pencils that glide smoothly for any artist,58
9,Aileen,Nice,1,2018-07-14,4.0,They are good--better than those cheaper brands. I like the range in colors. They go smoothly on paper and are vibrant. They work well for someone who colors recreationally.,173
10,Neraul Terrab,Average,1,2018-07-07,1.0,"Absolutely disappointing! I was robbed a color as Coyote(A111) was duplicated, these pencils lack color intensity/vibrancy not as buttery as the crayola artist blend. I can't complain about the pricing as it is more affordable than other artist quality brands and they are not as waxy as Prisma color.",301
11,Cathy Ahloy,Color Pencils,1,2018-06-26,4.0,"Not as a smooth as Prisma Color pencils. They don’t blend as well but, good.",76
12,Esmeralda,All the colors are available,2,2018-06-24,5.0,I love these colors!!,21
