,review_author,review_header,review_helpful,review_posted_date,review_rating,review_text,review_length
0,tony,Sound bar,0,2018-08-12,3.0,I like this sound bar it small it has great sound,49
1,VRougeux,Weird Product,0,2018-08-12,2.0,"This product arrived quickly and packaged nicely.  My son installed it for me.  It has nice sound and I like it well enough; however, I find that every time I change the channel on my cable remote it interacts with the soundbar.  Every time I scroll through the channel guide with my cable remote the sound on the soundbar raises to unbelievable levels.  It's just weird and annoying.  I gave this product a 2 because I do like the sound, but it's just weird.  I wouldn't recommend it to anyone.",495
2,Braedon Wilson,Decent sound bar but too few features,0,2018-08-09,2.0,The sound bar is decent for the price but has very little features. The real problem with it is it has zero customization features. I wish you could control individual sounds like bass or treble but I didn’t expect much for the price I paid. Another issue I have is not being able to tell what volume I’m on. It’s frustrating trying to find the right volume. Then the inconsistency of the volume is frustrating. Sometimes I won’t be able to hear a thing and then a commercial comes on and wakes up the whole neighborhood. Only reason it gets 2 stars is for the price and the simple fact that it produces sound.,610
3,Laura Sanchez,Nice Sound for a low budget sound bar,0,2018-08-08,4.0,"Dont spect to much and you will find a good sound bar in this product, No HDMI port so you only have the optical, RCA, AUX or Bluetooth.
The bass sounds very good even though it doesnt have a woofer",198
4,Amazon Customer,Excellent soundbar!,0,2018-08-07,5.0,Amazing sound and volume levels!,32
5,Anonymous,Great sound. Not too big not too small. Just right,0,2018-08-07,5.0,Wow I’m very amazed by this sound bar. Sounds amazing. Only flaw  found is the instructions are in several languages except English. But you don’t need instructions to connect it all you need is common sense. Sounds loud enough for a small apartment. Bass sounds great. FYI have triple A batteries ready for your remote.,320
6,Eric S,Perfect for a small room!,0,2018-08-07,4.0,I am using this as a wall mounted set of speakers under my PC monitor.  The sound is way better than the LCD monitors small speakers.  Rich sound - but certainly not booming bass.  It has enhanced my experience and not cost me a fortune.  Perfect for what I needed.,265
7,13usarmy,No instructions or bass. Decent sound.,0,2018-08-07,3.0,"Not much bass, which makes it sound kind of hollow, but better than the tv speakers. No installation instructions which made install way more complicated than it needed to be. Not worth returning but wouldn’t recommend it.",222
8,Justin,"Sounds good, for the price.",0,2018-08-07,5.0,"Very easy to setup. From out of the box, to listening to the T.V. playing through it, maybe 2 minutes.
 And for the price, the sound quality really surprised me. Good tone at any level. Yes I would recommend this unit, if you're not looking to break the bank, and still have a quality sound bar.",295
9,Amazon Customer,Will try again,0,2018-08-06,1.0,At first I really liked this product but when I tried to turn down the sound with the remote turned it up to the maximum level and wouldn’t turn off. I also turned it off and I could not turn it back on.  I’m going to see if I can return it and get a replacement. I already have the screws in the wall so I would like the same one.,331
10,Deana,Just what I needed,0,2018-08-05,4.0,"Great sound bar, real good sound",32
11,shoesRme,Keep packing box,0,2018-08-03,3.0,"I have tried to hook this to two different TVs, it not working on either one.  The only reason I haven’t sent it back is to much trouble",136
12,Michael Hazard,Did not boost my TV's volume,0,2018-08-01,2.0,I purchased this based on an Amazon customer review that indicated the item had resolved a volume issue (too low on some channels) they were experiencing.  I have the same problem but this sound bar did not help my issue at all.,228
13,cbkinnc,I like it. Plenty of sound,0,2018-07-31,4.0,"I like it. Plenty of sound, lots of ways to connect, perfect width for my needs and a pretty good pice. Kinda sounds a little hollow for my tastes but otherwise, its good",170
14,Alicia,Great purchase,0,2018-07-31,5.0,Love the sound. Love the Bluetooth capabilities.,48
15,A Reader,Does NOT Support Amazon TV,1,2018-07-31,1.0,"Because I had an electrician at my house doing other things, I had him install the Tao Tronics sound bar.  Seemed to work fine, but then, days later, I switched to Amazon TV (and Acorn): nothing.  Spent some time trying to learn what I had done wrong, pushing buttons here and there, testing....  After paying an electrician to check things out, I finally wrote the company.  The company offered me a 30% refund (if the defect did not bother me much!) and finally admitted that the bar simply did not support Amazon.  No reason why given - but the fact apparently was well known before I wrote.  I was given a pre-paid return label and a refund (had to buy a box for the equipment, since had thrown away the original; know better now) and got a full refund.  Of course, I have spent about twice what the thing cost and lost several hours of my time.  Bought a Vizio 28 2.1; installed it in about 10 minutes; it works fine - on all.",931
16,DeKovin H.,I like it because it is perfect size to fit media ...,0,2018-07-30,4.0,"I like it because it is perfect size to fit media center in my bedroom. Sound is way better than TV speakers and that I can stream music from my Iphone. I wish that volume could be controlled by my Direct remote, hate having a thousand remotes. Overall I'm happy with it. Went on the site to try to register for extra warranty but got some error and it would not go through.",374
17,Amazon Customer,Dead sound bar,0,2018-07-27,1.0,"3 months after purchase, it died.",33
18,SB New Jersey,Very satisfied with unit and delivery and very easy setup,0,2018-07-26,5.0,"Very satisfied with unit and delivery and very easy setup. I had a problem hearing clearly before and now it is crystal clear.
I also noticed that a question was asked if they can still turn up volume on remote in addition and you CAN.",235
19,W. Moore,Oh question. My opinion is hardly a headline,0,2018-07-25,4.0,"Direct connected  by the optics leads to a Samsung series 8 TV.  It does seem to offer some degree of clarity to voices and some depth to music.
 I do lament  having to use the TT remote for all volume changes.",210
20,briana,Not the best.,0,2018-07-24,3.0,Ok sound for the price. Not as loud as I’d want.,48
21,atmoschem,Stylish and the sound is good!,0,2018-07-24,5.0,"After three month of use, I'm very pleased with the soundbar.
I owned few soundbars. it can easily compete with those big brand names. The sound is punchy and loud for being only 25 inch. I have a 55 TV so this soundbar looks pretty small but it's got a variety of inputs such as bluetooth, optical cable, as expected. I think the physical look of it is great too with minimal branding! it also has the side buttons just in case to lose the remote for some reason. The only thing needs to delete is the Indicator light in the middle. When watching the TV, I couldn't help but to keep looking at the blue dot...",610
22,Amazon Customer,JUST BAD,0,2018-07-23,1.0,Absolute worst sound I've ever heard! Sounds like crumpling paper together!,75
23,Michael Albright ,Great buy!,0,2018-07-23,4.0,"What a great buy, I own 2 other sound bars that are high end and I have to say this unit is right up there with them. I purchased an inexpensive projector and that’s what I’m using this sound bar with. The only thing that would be better is if it had a little more bass to it but other then that definitely worth the money and then some.",337
24,James C.,Improvement over TV speakers,0,2018-07-22,3.0,"Good sound bar for the price. Definite improvement over weak TV speakers. Currently there are no remote codes so it can't be used with universal remote (ugh one more remote to track). Noticed that Verizon Fios remote (mainly up/down arrows buttons and channel up/down buttons) repeats last input from soundbar remote. This gets annoying when scrolling/surfing channels and volume is constantly changing up/down.
8/7/2018
Update: All buttons on the FIOS cable remote repeat the last soundbar remote function.
After adjusting the volume on the soundbar, I hit the input button (Audio, OPT, BT) for the active input to prevent the cable remote from adjusting the volume. Simple workaround.",686
25,Amazon Customer,Well executed product,0,2018-07-22,5.0,"Relatively compact profile. Good dynamic range for the money. Best personal use is with television - gives reasonable depth and clarity to broadcast content.  Optical connection sound output has a slight delay behind television video output. Not a problem with bluetooth connection.  Handy for streaming audio from mobile devices, with decent quality.",351
26,Chris Matthews,Very disappointed.,0,2018-07-22,2.0,"For a novice, I didn’t know that I had to purchase an optic cord to use with my TV. Isn’t that why people buy these things? And it only works 75% of the time when I use the Amazon Firestick. Very disappointed. I will be exchanging it.
Update: This has been working only 25% of the time with the Firestick & Netflix.",315
27,Monty,Works fine and connection is easy but...,0,2018-07-21,2.0,It works fine and the hook up to Bluetooth is super easy. But I am using it to replace some cheap computer speakers and I don't think the sound is any better.,158
28,D. Williams,Works as intended.  Sound quality is not outstanding.,1,2018-07-21,3.0,"Works as expected.  The sound seems a little thin (not much bass), and it is a pain to have to use two remotes--one for the speakers and one for the TV.  The bluetooth feature works as intended.  I mounted this on top of the TV, which is mounted too high to begin with, so I have to hold the remote at head height or above to work the speakers.  A broader area of response to the remote would have made the unit. but a better position for the speakers would have been under to TV (there already was a cable box mounted below the TV)",532
29,Just a guy,Should be in a landfill  pile of Crap!,1,2018-07-21,1.0,"I was not looking for anything special from this product except for it to work. The remote was dead and would not turn the unit off or on even when pointed directly at the unit. If I have to work that hard for the thing to work, it is not worth my trouble. I have a older Samsung U8000 TV from 2009 with optical audio and the speaker would not recognize the signal. Garbage! I set the TV to external speakers. I also tried the RCA plugs and I got nothing. I cycled through the side buttons and also got nothing. Pure garbage. Save yourself the heartache and frustration and stay away from this product.",602
30,Beth,Don't waste your money,0,2018-07-21,1.0,Had it for 3 months and it barely functions now. It was great at first but now the volume will completely go out for no reason after about 30 minutes of use and the remote is junk. You get what you pay for I suppose,215
31,Thomas Ramage,Good for the price.,0,2018-07-20,4.0,This speaker works well for the price.  It brings trebble out in front of the base so you can here the taking over background noise.  I can't hear the words without it.,168
32,Clawhammer91,A nice starter,0,2018-07-20,4.0,"I was happy to see it came with everything needed except for 2 AAA batteries. My only issue is that the speaker lacks on treble. Great for voice amplification for the tv. I was able to run both the sound bar and my tv speakers at the same time so i can balance my highs, mids and lows together. It gets the job done.",316
