,review_author,review_header,review_helpful,review_posted_date,review_rating,review_text,review_length
0,Tabatha L. Trotter,I have two ears that hear,0,2018-08-10,2.0,"I picked tried them last night and only the left ear works. I liked the fit, the ear buds were comfotable, but both my ears can hear.",133
1,Kimmie Clark,AWESOME - EXCELLENT,0,2018-08-10,5.0,These headphones are absolutely THE BEST!  They are so professional and comfortable!  Beautiful color and excellent sound!  Perfect for riding my motorcycle!  Fits perfect under helmet!,185
2,Shantoya ,Great Buy,0,2018-08-08,5.0,Good workout headphones.,24
3,Hailey Mcvay,They’re a great product!,0,2018-08-07,5.0,I like pretty much everything about them. I wish that you could adjust the part that wraps around your eye to make it smaller or bigger. I use this product for running and they’re very comfortable and great for running.,219
4,C. Brown,Easy to use!,0,2018-08-07,5.0,Very cute easy to use.  Sound is amazing.  I mostly use to talk on the phone.  Synched to my phone in seconds,109
5,Shawnna,Love!!,0,2018-08-06,5.0,These headphones are super cute! The carrying case they come in make it super easy to throw in my gym bag. They fit really nice and the sound is great! Highly recommend.,169
6,rawan,"we both love them, they are comfortable and last for",0,2018-08-02,5.0,"I got one for me and one for my sister, we both love them, they are  comfortable and last for long",98
7,cori savenelli,Great product,0,2018-08-02,5.0,"Love these! Only wish the case was a little bigger or it had those indented compartments that fit the product into the case. Other than that, 5 stars!",150
8,S Meyer,and they were great!,0,2018-07-28,5.0,"I took these on a recent trip, and they were great!",51
9,Amazon Customer,The best earphones I bought!,0,2018-07-24,5.0,Totally love it! Order came in earlier than scheduled time! The ear phones last really long doesn’t need to be charged so many times. Doesn’t take long to pair with your phone. It also came in fully charged! Highly recommend it!,228
10,BlondeBarbie,Really Cool!,1,2018-07-24,5.0,"These work beautifully if you want to get on a bike and have sport Bluetooth headphones. People who had complaints...I don’t get it. They’ve worked well for me.
My only reservation was the pink. It was more flesh tone and looked a bit hearing aid-ish.",251
11,Kim Patterson,Good choice at this price point.,0,2018-07-24,5.0,Great product for the price.,28
12,Amazon Customer,Clear receptions and comfortable to wear for 8 hours.,0,2018-07-23,5.0,I love these Headphones. Lite weight very comfortable to wear for at least 8 hours so far. Clear reception and the blue tooth is a great feature to have. Thanks very much for the reasonable price.,196
13,Amazon Customer,Great product,0,2018-07-14,5.0,Great sound . Love the color and the fit !! I would definitely  recommend these !!,82
14,Nanflo,Comfortable!!,0,2018-07-13,5.0,"They are super cute and comfortable. I love that they’re white and pink!! No complaints on these, I love them! I also got them shipped to me quick!
& They sound great!",167
15,Danielle Rooney,Stay in place,1,2018-07-13,5.0,I go for runs with them and they stay in place. Love them so far! My earbuds would always fall out.,99
16,Lizette Rivera,Five Stars,0,2018-07-12,5.0,Very nice and soft headphones. Love the color.,46
17,Jeremy,Goes great with her phone,0,2018-07-11,5.0,My wife absolutely loves these headsets. Goes great with her phone case,71
18,kim chadwick,Look good,0,2018-07-06,5.0,So far so good! Price was right and they look and sound good.,61
19,AJK,Easy to use,0,2018-07-05,5.0,Clear sound. Easy to sync and use.,34
20,Jackie,Affordable,0,2018-06-29,5.0,I absolutely love these! They are so convenient and super cute! It has the perfect sound,88
21,YoungQ,Good match with moto g4,0,2018-06-20,5.0,Easy to set up and good blue tooth distance,43
22,Amazon Customer,The wire is flat,0,2018-06-17,4.0,I liked how practical is to use this Bluetooth headphone during my workouts.,76
23,Samuel Strong,Five Stars,0,2018-06-16,5.0,A++,3
24,Salina,Cuts out a lot,5,2018-06-11,3.0,I don't like that if my phone is in my bag and I'm listening to music it cuts out sel the time. It says a 30ft. distance but I'm nowhere near even a few inches from my phone and it cuts out a lot.,196
25,Katherine Joy Chieng,Five Stars,0,2018-06-10,5.0,"I LOVED IT...
Its PeRFECT... 💪🏼💪🏼👍🏻👍🏻",37
26,Atiana Vanessa Gotti,"Love Them! LOUD, QUALITY SOUND & AMAZING BASS!",0,2018-05-29,5.0,"These are by far worth every penny!
Exceptional sound & quality!
I'd give it more stars ☆ if I could!!",102
27,Deb buf,Great price!!!,0,2018-05-28,5.0,They are exactly what I was looking for.  Anxious to see how they hold up.  😁,77
