,review_author,review_header,review_helpful,review_posted_date,review_rating,review_text,review_length
0,KENNETH SCRUGGS,NOT WORTH THE MONEY,0,2018-08-07,1.0,I PURCHASED ONE AT BIG LOTS FOR $5 THAT SOUNDED BETTER,54
1,Robert Altman,Nice inexpensive unt,1,2018-08-06,4.0,"Purchased this sound bar for my camper because it is hard to here the tv when the A/C is on. I hooked it up this weekend sounds good does not deliver a lot of base. The tv is hard wired into the sound bar, I paired my iphne and I pad to stream music. Both devices paired up with out a proablem. The remote that comes with it did not work I can only turn the sound bar off and on the other buttons vol up and down, and the mode buttons don’t do anything. I wish I could get another remote that works. Other then that it does what I brought it for.",546
2,Joel Clarke,DONT BOTHER....TRASH,0,2018-08-03,1.0,I’ve had this thing for less than a day and im packing it back up to send it back. This trash product worked to 5mins and hasn’t worked since...doesn’t matter if aux or bluetooth its TRASH so it doesn’t workz,208
3,tammie walker,Really made a difference while it lasted,0,2018-08-02,2.0,Received next day :) hooked it up and it worked great for awhile. ...then the controller stopped working and it kept going into some ear phone mode after about 30 minutes of that the volume cut off  I wrote the seller hoping they can help!,239
4,Neruda,"Small, light, loud with multi-functionality",0,2018-08-02,5.0,"This little soundbar puts out quite a lot of volume. It comes with all of the cables one would need. It was easy to get my TV to recognize it via Bluetooth connection. It has a small footprint that I like for my bedroom. The TV in there is less massive than the one in the livingroom. I didn't need a super long soundbar to use with that TV. This fit the bill perfectly. This unit pushes out bass frequencies pretty well, too. I was surprised by that.",451
5,zombiemasteruno,Soundbar constantly goes into sleep mode.,0,2018-08-01,1.0,"The soundbar had great sound, but I REALLY dislike the sleep mode. The description says that it is only supposed to go into sleep mode when not in use. We have tried to watch many programs and movies only to find that this soundbar CONSTANTLY goes into sleep mode. I'm returning this item to try and find one that will not do this.",331
6,Anonymous,"I like it, then only thing is",0,2018-07-30,4.0,"Works very well.  I like it, then only thing is, when you are using it, it automatically turns off pretty quickly.  Can't watch a full movie without it turning off twice.  Also, when you turn it on at first, it is so loud notifying it's connected.  Just seems like two unnecessary issues.",288
7,Dawn Robinson,Apparently not for TV use :(,0,2018-07-28,2.0,"Great little speaker but doesn't actually work with my tv, which is what I bought it for. :/",92
8,funlovin,It's a completely useless waste of money,1,2018-07-27,1.0,"I was going to use this speaker for my business, but it's so called ""features"" make that impossible. It turns off by itself every two hours which I can't stop it from doing. When I turn it back on it YELLS out that its connecting, and if the battery is low, be prepared for it to yell at you loudly through the speaker until you stop what you're doing and plug it in. It's a completely useless waste of money.",409
9,Rachel Moore,Ok Sound but Remote arrived broken,0,2018-07-26,4.0,Product was easy to setup & sound is great. Only issue I have is remote doesn’t work very well & has a piece broken off the top of it. Not worth sending back but remote was the main reason I bought this unit.,208
10,Amazon Customer,Bluetooth worked....tv audio did not work.,1,2018-07-24,3.0,"I bought this to improve the sound quality of my new 55"" tv. Once plugged in i adjusted all settings needed. No sound at all. I tried the bluetooth to my phone to confim the device wasn't malfunctioning. Bluetooth worked fine.
I called my tv manufactuer. They pretty much said ""other"" sound bars dont work with my tv. They prefer I buy their brand. Whatever.
The main purpose i needed a sound bar was for my tv. So i decided to return it for not working for what i needed. 3 stars for working properly with bluetooth though. Pandora sounded really decent on it. I just dont have a need for a soundbar anywhere else.
I would have kept it had it worked for my tv based on what it sounded like with Bluetooth.
Thank you amazon for making the return process easy.",759
11,wireless customer,Not worth it,0,2018-07-24,1.0,Horrible. Not even as loud as my tv and distortion everywhere. Surprised at how much it costs and how much it sucks.,116
12,nathan gill,maybe it's a lemon. maybe it's just crap.,0,2018-07-24,1.0,holy crap. not even half the volume of the tv i plugged it into. haven't tried it yet on anything else... but that's because i didn't buy it for anything else. probably gonna return it. haven't decided yet.,206
13,Batman,Great for the price,0,2018-07-23,4.0,"Everything works great, I wish it were a tad longer but other than that it works amazingly.  The sound quality is pretty good.  Overall, good buy for the money",159
14,Joe Obirek,Two Stars,0,2018-07-19,2.0,Not very good sound & volume is waaaaayyyyy to low.,51
15,ShaySing,I can hear the TV now,1,2018-07-19,4.0,"Purchased for my front room because the TV (TCL Roku) volume is really low even when turned up to max so I wanted something to hear over the kids, I would say this increased the TVs volume by at least 50% so I'm pretty happy with it. If you want something that will rattle your house, look elsewhere.",300
16,Roopa Kumari,Super Sound Bar,0,2018-07-18,5.0,"I had bought this Bluetooth Sound bar for listening music indoor as well as outdoor. Sound Quality is exceptional, loud enough and clear, can feel bass surround effect. It comes with all necessary accessories connectors to connect to various types of devices such as TV, Phone, MP3 Player and the best of all is, supports Memory Card & USB Storage devices as well. It come with nice small remote too. The size of this is compact. Great product for the price. I recommend this!!",477
17,Hope,Not for your tv,0,2018-07-17,2.0,Will not work with a tv. Can only use with cell phone.,54
18,Dominic Lillian,Pretty good product,0,2018-07-16,4.0,"Pretty good product, and performs well for the price. One thing that makes absolutely no sense about it, however, is that you cannot turn the device on with the remote unless the dial has been switched over to the ""on"" position. Adding to this, you cannot turn the volume up past wherever the dial is set when using the remote. Completely nonsensical design choice. Other than that, it's plenty loud when I need it to be and the sound quality is decent.",453
19,SuperAwesomeDawson,Neat sound bar definitely exceeds my expectations!,7,2018-07-13,5.0,"This really is an excellent product. I'm using it right now to verbally dictate this review. It has very clear sound and has very nice volume too. It is definitely worth the price. It will connect to my TV, and then I can quick disconnect from my television and connect it to my phone for phone calls or to my laptop for video games. It is an excellent product!",361
